# Frequency (Hz), Power (W m^-2 Hz^-1)
1.871363657927590312e+14,1.864499176960616275e-12
1.872532529668956875e+14,1.854562761915778353e-12
1.873702862499999688e+14,1.975382582840026613e-12
1.874874659161976250e+14,2.005152121305199691e-12
1.876047922403003438e+14,2.103326547727896126e-12
1.877222654978083750e+14,2.040463601822831854e-12
1.878398859649122812e+14,2.018026991726389587e-12
1.879576539184952812e+14,2.128531835013675085e-12
1.880755696361355000e+14,2.109506305191973850e-12
1.881936333961079688e+14,2.123958992590801079e-12
1.883118454773869062e+14,2.071414249120303905e-12
1.884302061596480000e+14,1.984462776011530206e-12
1.885487157232704375e+14,1.980535367570854756e-12
1.886673744493391875e+14,1.900644618851619530e-12
1.887861826196473438e+14,2.051428947955722549e-12
1.889051405166981562e+14,2.064892087812296318e-12
